cluster,task_id,contribution,num_answers
1,t_00004,0.8724279486022268,2
0,t_00019,0.8518451548603829,2
1,t_00035,0.8464941125690079,1
1,t_00032,0.8302260663931458,1
1,t_00021,0.8298860315999776,1
1,t_00011,0.8260225766075996,1
1,t_00029,0.8250766129037557,1
0,t_00037,0.8244635029838786,1
2,t_00003,0.8244618142485722,1
1,t_00006,0.8228662884099833,2
0,t_00038,0.8208469341527558,1
0,t_00026,0.8205809907605617,2
0,t_00030,0.8132347726923885,2
1,t_00038,0.794398980832908,1
1,t_00013,0.7943589191400796,1
2,t_00014,0.7921931218210474,2
0,t_00004,0.7912418754788993,1
2,t_00012,0.789458152957095,2
1,t_00000,0.7881399943668508,1
1,t_00009,0.7867982765378035,3
0,t_00017,0.7830511060000248,3
0,t_00008,0.7827702804271207,3
1,t_00034,0.7745703896423177,1
1,t_00018,0.7734491486403868,3
0,t_00035,0.7665766161420637,2
